type,name,res_id,src,value
field,"account.account,active",0,Active,Активен
field,"account.account,balance",0,Balance,Баланс
field,"account.account,child_id",0,Children,Подчиненные
field,"account.account,code",0,Code,Код
field,"account.account,credit",0,Credit,Кредит
field,"account.account,currency_id",0,Currency,Валюта
field,"account.account,debit",0,Debit,Дебет
field,"account.account,name",0,Name,Имя
field,"account.account,parent_id",0,Parents,Родители
field,"account.account,protected",0,Protected,Защищенный
field,"account.account,sign",0,Signe,Подпись
field,"account.account,type",0,Account Type,Тип счета
field,"account.currency,accuracy",0,Computational Accuracy,Точность вычислений
field,"account.currency,active",0,Active,Активна
field,"account.currency,date",0,Last rate update,Последнее обновление курса
field,"account.currency,digits",0,Displayed Digits,Отображаемые знаки
field,"account.currency,name",0,Currency,Валюта
field,"account.currency,priority",0,Usage priority,Приоритет использования
field,"account.currency,rate",0,Relative Change rate,Курс обмена
field,"account.invoice,account_id",0,Dest Account,Счет назначения
field,"account.invoice,address_contact_id",0,Contact Address,Адрес для контакта
field,"account.invoice,address_invoice_id",0,Invoice Address,Адрес счета
field,"account.invoice,amount_tax",0,Tax Amount,Сумма налогов
field,"account.invoice,amount_total",0,Total Amount,Общая сумма
field,"account.invoice,amount_untaxed",0,Untaxed Amount,Сумма без налогов
field,"account.invoice,comment",0,Additionnal Information,Доп. информация
field,"account.invoice,date_due",0,Due Date,Планируемая дата
field,"account.invoice,date_invoice",0,Date Invoiced,Дата выписки накладной
field,"account.invoice,invoice_line",0,Invoice Lines,Строки счета
field,"account.invoice,move_id",0,Invoice Movement,Движение счета
field,"account.invoice,name",0,Invoice Description,Описание счета
field,"account.invoice,number",0,Invoice Number,Номер счета
field,"account.invoice,origin",0,Origin,Источник
field,"account.invoice,partner_contact",0,Partner Contact,Контакт
field,"account.invoice,partner_id",0,Partner,Контрагент
field,"account.invoice,partner_ref",0,Partner Reference,Ссылка на контрагента
field,"account.invoice,payment_term",0,Payment Term,Срок оплаты
field,"account.invoice,project_id",0,Profit/Cost Ctr,Центр выручки/стоимости
field,"account.invoice,reference",0,Invoice Reference,Ссылка на накладную
field,"account.invoice,state",0,State,Состояние
field,"account.invoice,tax_line",0,Tax Lines,Строки налогов
field,"account.invoice,type",0,Type,Тип
field,"account.invoice.line,account_id",0,Source Account,Исходный счет
field,"account.invoice.line,invoice_id",0,Invoice Ref,Ссылка на счет
field,"account.invoice.line,invoice_line_tax_id",0,Taxes,Налоги
field,"account.invoice.line,name",0,Description,Описание
field,"account.invoice.line,price_subtotal",0,Subtotal,Промежуточный итог
field,"account.invoice.line,price_unit",0,Unit Price,Стоимость комплекта
field,"account.invoice.line,quantity",0,Quantity,Количество
field,"account.invoice.tax,account_id",0,Taxe Account,Счет налога
field,"account.invoice.tax,amount",0,Amount,Сумма
field,"account.invoice.tax,invoice_id",0,Invoice Line,ошибка счета
field,"account.invoice.tax,manual",0,Manual,
field,"account.invoice.tax,name",0,Tax Description,Описание налога
field,"account.move,change",0,Change transaction,Изменить операцию
