id,code,type,description,supplementary_unit,start_date,expiry_date
"commodity_code_2018_1012100","01012100","commodity","Pure-bred breeding horses","p/st","",""
"commodity_code_2018_1012910","01012910","commodity","Horses for slaughter","p/st","",""
"commodity_code_2018_1012990","01012990","commodity","Live horses (excl. for slaughter, pure-bred for breeding)","p/st","",""
"commodity_code_2018_1013000","01013000","commodity","Live asses","p/st","",""
"commodity_code_2018_1019000","01019000","commodity","Live mules and hinnies","p/st","",""
"commodity_code_2018_1022110","01022110","commodity","Pure-bred breeding heifers ""female bovines that have never calved""","p/st","",""
"commodity_code_2018_1022130","01022130","commodity","Pure-bred breeding cows (excl. heifers)","p/st","",""
"commodity_code_2018_1022190","01022190","commodity","Pure-bred cattle for breeding (excl. heifers and cows)","p/st","",""
"commodity_code_2018_1022905","01022905","commodity","Live cattle of the sub-genus Bibos or Poephagus (excl. pure-bred for breeding)","p/st","",""
"commodity_code_2018_1022910","01022910","commodity","Live cattle of a weight <= 80 kg (excl. pure-bred for breeding)","p/st","",""
"commodity_code_2018_1022921","01022921","commodity","Cattle of a weight > 80 kg but <= 160 kg, for slaughter","p/st","",""
"commodity_code_2018_1022929","01022929","commodity","Live cattle of a weight > 80 kg but <= 160 kg (excl. for slaughter, pure-bred for breeding)","p/st","",""
"commodity_code_2018_1022941","01022941","commodity","Cattle of a weight > 160 kg but <= 300 kg, for slaughter","p/st","",""
"commodity_code_2018_1022949","01022949","commodity","Live cattle of a weight > 160 kg but <= 300 kg (excl. for slaughter, pure-bred for breeding)","p/st","",""
"commodity_code_2018_1022951","01022951","commodity","Heifers ""female bovines that have never calved"" of a weight > 300 kg, for slaughter","p/st","",""
"commodity_code_2018_1022959","01022959","commodity","Live heifers ""female bovines that have never calved"" of a weight > 300 kg (excl. for slaughter and pure-bred for breeding)","p/st","",""
"commodity_code_2018_1022961","01022961","commodity","Cows of a weight > 300 kg, for slaughter (excl. heifers)","p/st","",""
"commodity_code_2018_1022969","01022969","commodity","Live cows of a weight > 300 kg (excl. for slaughter and pure-bred for breeding and heifers)","p/st","",""
"commodity_code_2018_1022991","01022991","commodity","Cattle of a weight > 300 kg, for slaughter (excl. heifers and cows)","p/st","",""
"commodity_code_2018_1022999","01022999","commodity","Live cattle of a weight > 300 kg (excl. for slaughter, pure-bred for breeding and heifers and cows)","p/st","",""
"commodity_code_2018_1023100","01023100","commodity","Pure-bred buffalo for breeding","p/st","",""
"commodity_code_2018_1023910","01023910","commodity","Live domestic buffalo (excl. pure-bred for breeding)","p/st","",""
"commodity_code_2018_1023990","01023990","commodity","Live buffalo (excl. domestic species and pure-bred for breeding)","p/st","",""
"commodity_code_2018_1029020","01029020","commodity","Bovine pure-bred breeding animals (excl. cattle and buffalo)","p/st","",""
"commodity_code_2018_1029091","01029091","commodity","Live domestic bovine animals (excl. cattle and buffalo and pure-bred for breeding)","p/st","",""
"commodity_code_2018_1029099","01029099","commodity","Live bovine animals (excl. cattle, buffalo, pure-bred for breeding and domestic species)","p/st","",""
"commodity_code_2018_1031000","01031000","commodity","Pure-bred breeding swine","p/st","",""
"commodity_code_2018_1039110","01039110","commodity","Domestic swine, weighing < 50 kg (excl. pure-bred for breeding)","p/st","",""
"commodity_code_2018_1039190","01039190","commodity","Live non-domestic swine, weighing < 50 kg","p/st","",""
"commodity_code_2018_1039211","01039211","commodity","Live domestic sows, having farrowed at least once, weighing >= 160 kg (excl. pure-bred for breeding)","p/st","",""
"commodity_code_2018_1039219","01039219","commodity","Live domestic swine, weighing >= 50 kg (excl. sows having farrowed at least once and weighing >= 160 kg, and those pure-bred for breeding)","p/st","",""
"commodity_code_2018_1039290","01039290","commodity","Live non-domestic swine, weighing >= 50 kg","p/st","",""
"commodity_code_2018_1041010","01041010","commodity","Pure-bred sheep for breeding","p/st","",""
"commodity_code_2018_1041030","01041030","commodity","Live lambs ""sheep up to a year old"" (excl. purebred breeding animals)","p/st","",""
"commodity_code_2018_1041080","01041080","commodity","Live sheep (excl. lambs and pure-bred breeding animals)","p/st","",""
"commodity_code_2018_1042010","01042010","commodity","Pure-bred breeding goats","p/st","",""
"commodity_code_2018_1042090","01042090","commodity","Live goats (excl. pure-bred for breeding)","p/st","",""
"commodity_code_2018_1051111","01051111","commodity","Grandparent and parent female chicks of fowls of the species Gallus domesticus laying stocks of a weight of <= 185 g","p/st","",""
"commodity_code_2018_1051119","01051119","commodity","Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks)","p/st","",""
"commodity_code_2018_1051191","01051191","commodity","Laying stock ""fowls of the species Gallus domesticus"" of a weight of <= 185 g (excl. grandparent and parent female chicks)","p/st","",""
"commodity_code_2018_1051199","01051199","commodity","Live fowls of the species Gallus domesticus of a weight of <= 185 g (excl. grandparent and parent female chicks and laying stocks)","p/st","",""
"commodity_code_2018_1051200","01051200","commodity","Live domestic turkeys, weighing <= 185 g","p/st","",""
"commodity_code_2018_1051300","01051300","commodity","Live domestic ducks, weighing <= 185 g","p/st","",""
"commodity_code_2018_1051400","01051400","commodity","Live domestic geese, weighing <= 185 g","p/st","",""
"commodity_code_2018_1051500","01051500","commodity","Live domestic guinea fowls, weighing <= 185 g","p/st","",""
"commodity_code_2018_1059400","01059400","commodity","Live fowls of the species Gallus domesticus, weighing > 185","p/st","",""
"commodity_code_2018_1059910","01059910","commodity","Live domestic ducks, weighing > 185 g","p/st","",""
"commodity_code_2018_1059920","01059920","commodity","Live domestic geese, weighing > 185 g","p/st","",""
"commodity_code_2018_1059930","01059930","commodity","Live domestic turkeys, weighing > 185 g","p/st","",""
"commodity_code_2018_1059950","01059950","commodity","Live domestic guinea fowls, weighing > 185 g","p/st","",""
"commodity_code_2018_1061100","01061100","commodity","Live primates","p/st","",""
"commodity_code_2018_1061200","01061200","commodity","Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","p/st","",""
"commodity_code_2018_1061300","01061300","commodity","Live camels and other camelids [Camelidae]","p/st","",""
"commodity_code_2018_1061410","01061410","commodity","Live domestic rabbits","p/st","",""
