"id","name","ibge_code","state_id:id","country_id:id"
"city_1100015","Alta Floresta D'Oeste","1100015","base.state_br_ro","base.br"
"city_1100379","Alto Alegre dos Parecis","1100379","base.state_br_ro","base.br"
"city_1100403","Alto Paraíso","1100403","base.state_br_ro","base.br"
"city_1100346","Alvorada D'Oeste","1100346","base.state_br_ro","base.br"
"city_1100023","Ariquemes","1100023","base.state_br_ro","base.br"
"city_1100452","Buritis","1100452","base.state_br_ro","base.br"
"city_1100031","Cabixi","1100031","base.state_br_ro","base.br"
"city_1100601","Cacaulândia","1100601","base.state_br_ro","base.br"
"city_1100049","Cacoal","1100049","base.state_br_ro","base.br"
"city_1100700","Campo Novo de Rondônia","1100700","base.state_br_ro","base.br"
"city_1100809","Candeias do Jamari","1100809","base.state_br_ro","base.br"
"city_1100908","Castanheiras","1100908","base.state_br_ro","base.br"
"city_1100056","Cerejeiras","1100056","base.state_br_ro","base.br"
"city_1100924","Chupinguaia","1100924","base.state_br_ro","base.br"
"city_1100064","Colorado do Oeste","1100064","base.state_br_ro","base.br"
"city_1100072","Corumbiara","1100072","base.state_br_ro","base.br"
"city_1100080","Costa Marques","1100080","base.state_br_ro","base.br"
"city_1100940","Cujubim","1100940","base.state_br_ro","base.br"
"city_1100098","Espigão D'Oeste","1100098","base.state_br_ro","base.br"
"city_1101005","Governador Jorge Teixeira","1101005","base.state_br_ro","base.br"
"city_1100106","Guajará-Mirim","1100106","base.state_br_ro","base.br"
"city_1101104","Itapuã do Oeste","1101104","base.state_br_ro","base.br"
"city_1100114","Jaru","1100114","base.state_br_ro","base.br"
"city_1100122","Ji-Paraná","1100122","base.state_br_ro","base.br"
"city_1100130","Machadinho D'Oeste","1100130","base.state_br_ro","base.br"
"city_1101203","Ministro Andreazza","1101203","base.state_br_ro","base.br"
"city_1101302","Mirante da Serra","1101302","base.state_br_ro","base.br"
"city_1101401","Monte Negro","1101401","base.state_br_ro","base.br"
"city_1100148","Nova Brasilândia D'Oeste","1100148","base.state_br_ro","base.br"
"city_1100338","Nova Mamoré","1100338","base.state_br_ro","base.br"
"city_1101435","Nova União","1101435","base.state_br_ro","base.br"
"city_1100502","Novo Horizonte do Oeste","1100502","base.state_br_ro","base.br"
"city_1100155","Ouro Preto do Oeste","1100155","base.state_br_ro","base.br"
"city_1101450","Parecis","1101450","base.state_br_ro","base.br"
"city_1100189","Pimenta Bueno","1100189","base.state_br_ro","base.br"
"city_1101468","Pimenteiras do Oeste","1101468","base.state_br_ro","base.br"
"city_1100205","Porto Velho","1100205","base.state_br_ro","base.br"
"city_1100254","Presidente Médici","1100254","base.state_br_ro","base.br"
"city_1101476","Primavera de Rondônia","1101476","base.state_br_ro","base.br"
"city_1100262","Rio Crespo","1100262","base.state_br_ro","base.br"
