"id","code","name"
"legal_nature_1015","101-5","Órgão Público do Poder Executivo Federal"
"legal_nature_1023","102-3","Órgão Público do Poder Executivo Estadual ou do Distrito Federal"
"legal_nature_1031","103-1","Órgão Público do Poder Executivo Municipal"
"legal_nature_1040","104-0","Órgão Público do Poder Legislativo Federal"
"legal_nature_1058","105-8","Órgão Público do Poder Legislativo Estadual ou do Distrito Federal"
"legal_nature_1066","106-6","Órgão Público do Poder Legislativo Municipal"
"legal_nature_1074","107-4","Órgão Público do Poder Judiciário Federal"
"legal_nature_1082","108-2","Órgão Público do Poder Judiciário Estadual"
"legal_nature_1104","110-4","Autarquia Federal"
"legal_nature_1112","111-2","Autarquia Estadual ou do Distrito Federal"
"legal_nature_1120","112-0","Autarquia Municipal"
"legal_nature_1139","113-9","Fundação Pública de Direito Público Federal"
"legal_nature_1147","114-7","Fundação Pública de Direito Público Estadual ou do Distrito Federal"
"legal_nature_1155","115-5","Fundação Pública de Direito Público Municipal"
"legal_nature_1163","116-3","Órgão Público Autônomo Federal"
"legal_nature_1171","117-1","Órgão Público Autônomo Estadual ou do Distrito Federal"
"legal_nature_1180","118-0","Órgão Público Autônomo Municipal"
"legal_nature_1198","119-8","Comissão Polinacional"
"legal_nature_1201","120-1","Fundo Público"
"legal_nature_1210","121-0","Consórcio Público de Direito Público (Associação Pública)"
"legal_nature_1228","122-8","Consórcio Público de Direito Privado"
"legal_nature_1236","123-6","Estado ou Distrito Federal"
"legal_nature_1244","124-4","Município"
"legal_nature_1252","125-2","Fundação Pública de Direito Privado Federal"
"legal_nature_1260","126-0","Fundação Pública de Direito Privado Estadual ou do Distrito Federal"
"legal_nature_1279","127-9","Fundação Pública de Direito Privado Municipal"
"legal_nature_1287","128-7","Fundo Público da Administração Indireta Federal"
"legal_nature_1295","129-5","Fundo Público da Administração Indireta Estadual ou do Distrito Federal"
"legal_nature_1309","130-9","Fundo Público da Administração Indireta Municipal"
"legal_nature_1317","131-7","Fundo Público da Administração Direta Federal"
"legal_nature_1325","132-5","Fundo Público da Administração Direta Estadual ou do Distrito Federal"
"legal_nature_1333","133-3","Fundo Público da Administração Direta Municipal"
"legal_nature_2011","201-1","Empresa Pública"
"legal_nature_2038","203-8","Sociedade de Economia Mista"
"legal_nature_2046","204-6","Sociedade Anônima Aberta"
"legal_nature_2054","205-4","Sociedade Anônima Fechada"
"legal_nature_2062","206-2","Sociedade Empresária Limitada"
"legal_nature_2070","207-0","Sociedade Empresária em Nome Coletivo"
"legal_nature_2089","208-9","Sociedade Empresária em Comandita Simples"
"legal_nature_2097","209-7","Sociedade Empresária em Comandita por Ações"
"legal_nature_2127","212-7","Sociedade em Conta de Participação"
"legal_nature_2135","213-5","Empresário (Individual)"
"legal_nature_2143","214-3","Cooperativa"
"legal_nature_2151","215-1","Consórcio de Sociedades"
"legal_nature_2160","216-0","Grupo de Sociedades"
"legal_nature_2178","217-8","Estabelecimento, no Brasil, de Sociedade Estrangeira"
"legal_nature_2194","219-4","Estabelecimento de Empresa Binacional Argentino-Brasileira"
"legal_nature_2216","221-6","Empresa Domiciliada no Exterior"
"legal_nature_2224","222-4","Clube/Fundo de Investimento"
"legal_nature_2232","223-2","Sociedade Simples Pura"
"legal_nature_2240","224-0","Sociedade Simples Limitada"
"legal_nature_2259","225-9","Sociedade Simples em Nome Coletivo"
"legal_nature_2267","226-7","Sociedade Simples em Comandita Simples"
"legal_nature_2275","227-5","Empresa Binacional"
"legal_nature_2283","228-3","Consórcio de Empregadores"
"legal_nature_2291","229-1","Consórcio Simples"
"legal_nature_2321","232-1","Sociedade Unipessoal de Advocacia"
"legal_nature_2330","233-0","Cooperativas de Consumo"
"legal_nature_3034","303-4","Serviço Notarial e Registral (Cartório)"
"legal_nature_3069","306-9","Fundação Privada"
"legal_nature_3077","307-7","Serviço Social Autônomo"
"legal_nature_3085","308-5","Condomínio Edilício"
"legal_nature_3107","310-7","Comissão de Conciliação Prévia"
"legal_nature_3115","311-5","Entidade de Mediação e Arbitragem"
"legal_nature_3131","313-1","Entidade Sindical"
"legal_nature_3204","320-4","Estabelecimento, no Brasil, de Fundação ou Associação Estrangeiras"
"legal_nature_3212","321-2","Fundação ou Associação domiciliada no exterior"
"legal_nature_3220","322-0","Organização Religiosa"
"legal_nature_3239","323-9","Comunidade Indígena"
"legal_nature_3247","324-7","Fundo Privado"
"legal_nature_3255","325-5","Órgão de Direção Nacional de Partido Político"
"legal_nature_3263","326-3","Órgão de Direção Regional de Partido Político"
"legal_nature_3271","327-1","Órgão de Direção Local de Partido Político"
"legal_nature_3301","330-1","Organização Social (OS)"
"legal_nature_3999","399-9","Associação Privada"
"legal_nature_4014","401-4","Empresa Individual Imobiliária"
"legal_nature_4090","409-0","Candidato a Cargo Político Eletivo"
"legal_nature_4120","412-0","Produtor Rural (Pessoa Física)"
"legal_nature_5010","501-0","Organização Internacional"
"legal_nature_5029","502-9","Representação Diplomática Estrangeira"
"legal_nature_5037","503-7","Outras Instituições Extraterritoriais"
