"id","l10n_co_edi_type"
"l10n_co_tax_8","l10n_co_edi.tax_type_0"
"l10n_co_tax_1","l10n_co_edi.tax_type_0"
"l10n_co_tax_9","l10n_co_edi.tax_type_0"
"l10n_co_tax_4","l10n_co_edi.tax_type_0"
"l10n_co_tax_10","l10n_co_edi.tax_type_0"
"l10n_co_tax_11","l10n_co_edi.tax_type_0"
"l10n_co_tax_covered_goods","l10n_co_edi.tax_type_0"
"l10n_co_tax_53","l10n_co_edi.tax_type_5"
"l10n_co_tax_54","l10n_co_edi.tax_type_5"
"l10n_co_tax_55","l10n_co_edi.tax_type_4"
"l10n_co_tax_56","l10n_co_edi.tax_type_4"
"l10n_co_tax_57","l10n_co_edi.tax_type_6"
"l10n_co_tax_58","l10n_co_edi.tax_type_6"
"l10n_co_tax_0","l10n_co_edi.tax_type_0"
"l10n_co_tax_5","l10n_co_edi.tax_type_0"
"l10n_co_tax_6","l10n_co_edi.tax_type_0"
"l10n_co_tax_7","l10n_co_edi.tax_type_0"
"l10n_co_tax_12","l10n_co_edi.tax_type_4"
"l10n_co_tax_13","l10n_co_edi.tax_type_4"
"l10n_co_tax_14","l10n_co_edi.tax_type_4"
"l10n_co_tax_15","l10n_co_edi.tax_type_4"
"l10n_co_tax_16","l10n_co_edi.tax_type_5"
"l10n_co_tax_17","l10n_co_edi.tax_type_5"
"l10n_co_tax_18","l10n_co_edi.tax_type_5"
"l10n_co_tax_19","l10n_co_edi.tax_type_5"
"l10n_co_tax_20","l10n_co_edi.tax_type_5"
"l10n_co_tax_21","l10n_co_edi.tax_type_5"
"l10n_co_tax_22","l10n_co_edi.tax_type_5"
"l10n_co_tax_23","l10n_co_edi.tax_type_5"
"l10n_co_tax_24","l10n_co_edi.tax_type_5"
"l10n_co_tax_25","l10n_co_edi.tax_type_5"
"l10n_co_tax_26","l10n_co_edi.tax_type_5"
"l10n_co_tax_27","l10n_co_edi.tax_type_5"
"l10n_co_tax_28","l10n_co_edi.tax_type_5"
"l10n_co_tax_29","l10n_co_edi.tax_type_5"
"l10n_co_tax_30","l10n_co_edi.tax_type_5"
"l10n_co_tax_31","l10n_co_edi.tax_type_5"
"l10n_co_tax_32","l10n_co_edi.tax_type_5"
"l10n_co_tax_33","l10n_co_edi.tax_type_5"
"l10n_co_tax_34","l10n_co_edi.tax_type_5"
"l10n_co_tax_35","l10n_co_edi.tax_type_5"
"l10n_co_tax_36","l10n_co_edi.tax_type_5"
"l10n_co_tax_37","l10n_co_edi.tax_type_5"
"l10n_co_tax_38","l10n_co_edi.tax_type_5"
"l10n_co_tax_39","l10n_co_edi.tax_type_5"
"l10n_co_tax_40","l10n_co_edi.tax_type_5"
"l10n_co_tax_41","l10n_co_edi.tax_type_5"
"l10n_co_tax_42","l10n_co_edi.tax_type_5"
"l10n_co_tax_43","l10n_co_edi.tax_type_6"
"l10n_co_tax_44","l10n_co_edi.tax_type_6"
"l10n_co_tax_45","l10n_co_edi.tax_type_6"
"l10n_co_tax_46","l10n_co_edi.tax_type_6"
"l10n_co_tax_47","l10n_co_edi.tax_type_6"
"l10n_co_tax_48","l10n_co_edi.tax_type_6"
"l10n_co_tax_49","l10n_co_edi.tax_type_0"
"l10n_co_tax_50","l10n_co_edi.tax_type_0"
"l10n_co_tax_51","l10n_co_edi.tax_type_0"
"l10n_co_tax_52","l10n_co_edi.tax_type_0"
"l10n_co_tax_2","l10n_co_edi.tax_type_0"
"l10n_co_tax_59","l10n_co_edi.tax_type_3"
"l10n_co_tax_60","l10n_co_edi.tax_type_3"
"l10n_co_tax_61","l10n_co_edi.tax_type_3"
"l10n_co_tax_62","l10n_co_edi.tax_type_3"
"l10n_co_tax_63","l10n_co_edi.tax_type_3"
"l10n_co_tax_64","l10n_co_edi.tax_type_3"
