id,name,state_id:id,country_id:id
city_us_01,New York,base.state_us_27,base.us
city_us_02,Los Angeles,base.state_us_5,base.us
city_us_03,Chicago,base.state_us_14,base.us
city_us_04,Miami,base.state_us_10,base.us
city_us_05,Houston,base.state_us_44,base.us
city_us_06,Dallas,base.state_us_44,base.us
city_us_07,Philadelphia,base.state_us_39,base.us
city_us_08,Atlanta,base.state_us_11,base.us
city_us_09,Washington,base.state_us_9,base.us
city_us_10,Boston,base.state_us_34,base.us
city_us_11,Phoenix,base.state_us_3,base.us
city_us_12,Detroit,base.state_us_35,base.us
city_us_13,Seattle,base.state_us_48,base.us
city_us_14,San Francisco,base.state_us_5,base.us
city_us_15,San Diego,base.state_us_5,base.us
city_us_16,Minneapolis,base.state_us_36,base.us
city_us_17,Tampa,base.state_us_10,base.us
city_us_18,Brooklyn,base.state_us_27,base.us
city_us_19,Denver,base.state_us_6,base.us
city_us_20,Queens,base.state_us_27,base.us
city_us_21,Riverside,base.state_us_5,base.us
city_us_22,Las Vegas,base.state_us_23,base.us
city_us_23,Baltimore,base.state_us_33,base.us
city_us_24,St. Louis,base.state_us_38,base.us
city_us_25,Portland,base.state_us_32,base.us
city_us_26,San Antonio,base.state_us_44,base.us
city_us_27,Sacramento,base.state_us_5,base.us
city_us_28,Austin,base.state_us_44,base.us
city_us_29,Orlando,base.state_us_10,base.us
city_us_30,San Jose,base.state_us_5,base.us
city_us_31,Pittsburgh,base.state_us_39,base.us
city_us_32,Indianapolis,base.state_us_15,base.us
city_us_33,Manhattan,base.state_us_27,base.us
city_us_34,Cincinnati,base.state_us_30,base.us
city_us_35,Kansas City,base.state_us_38,base.us
city_us_36,Cleveland,base.state_us_30,base.us
city_us_37,Columbus,base.state_us_30,base.us
city_us_38,Bronx,base.state_us_27,base.us
city_us_39,Virginia Beach,base.state_us_47,base.us
city_us_40,Charlotte,base.state_us_28,base.us
city_us_41,Milwaukee,base.state_us_50,base.us
city_us_42,Providence,base.state_us_40,base.us
city_us_43,Jacksonville,base.state_us_10,base.us
city_us_44,Nashville,base.state_us_43,base.us
city_us_45,Salt Lake City,base.state_us_45,base.us
city_us_46,Raleigh,base.state_us_28,base.us
city_us_47,Richmond,base.state_us_47,base.us
city_us_48,Memphis,base.state_us_43,base.us
city_us_49,Oklahoma City,base.state_us_31,base.us
city_us_50,Hartford,base.state_us_7,base.us
city_us_51,Louisville,base.state_us_18,base.us
city_us_52,Buffalo,base.state_us_27,base.us
city_us_53,New Orleans,base.state_us_19,base.us
city_us_54,Fort Worth,base.state_us_44,base.us
city_us_55,Bridgeport,base.state_us_7,base.us
city_us_56,Tucson,base.state_us_3,base.us
city_us_57,El Paso,base.state_us_44,base.us
city_us_58,Omaha,base.state_us_22,base.us
city_us_59,McAllen,base.state_us_44,base.us
city_us_60,Birmingham,base.state_us_1,base.us
city_us_61,Albuquerque,base.state_us_26,base.us
city_us_62,Tulsa,base.state_us_31,base.us
