"id","name","auto_apply","l10n_ar_afip_responsibility_type_ids","tax_ids/tax_src_id","tax_ids/tax_dest_id",name@es
"fiscal_position_template_exempt_operations","Purchases / Sales abroad","1","l10n_ar.res_EXT","ri_tax_vat_0_ventas","ri_tax_vat_exento_ventas",Compras / Ventas al exterior
"","","","","ri_tax_vat_10_ventas","ri_tax_vat_exento_ventas",""
"","","","","ri_tax_vat_21_ventas","ri_tax_vat_exento_ventas",""
"","","","","ri_tax_vat_27_ventas","ri_tax_vat_exento_ventas",""
"","","","","ri_tax_vat_0_compras","ri_tax_vat_no_corresponde_compras",""
"","","","","ri_tax_vat_10_compras","ri_tax_vat_no_corresponde_compras",""
"","","","","ri_tax_vat_21_compras","ri_tax_vat_no_corresponde_compras",""
"","","","","ri_tax_vat_27_compras","ri_tax_vat_no_corresponde_compras",""
"","","","","ri_tax_vat_exento_compras","ri_tax_vat_no_corresponde_compras",""
"","","","","ri_tax_vat_no_gravado_compras","ri_tax_vat_no_corresponde_compras",""
"fiscal_position_template_free_zone","Purchases / Sales Free Trade Zone","1","l10n_ar.res_IVA_LIB","ri_tax_vat_0_ventas","ri_tax_vat_exento_ventas",Compras / Ventas Zona Franca
"","","","","ri_tax_vat_10_ventas","ri_tax_vat_exento_ventas",""
"","","","","ri_tax_vat_21_ventas","ri_tax_vat_exento_ventas",""
"","","","","ri_tax_vat_27_ventas","ri_tax_vat_exento_ventas",""
"","","","","ri_tax_vat_0_compras","ri_tax_vat_exento_compras",""
"","","","","ri_tax_vat_10_compras","ri_tax_vat_exento_compras",""
"","","","","ri_tax_vat_21_compras","ri_tax_vat_exento_compras",""
"","","","","ri_tax_vat_27_compras","ri_tax_vat_exento_compras",""
"fiscal_position_template_iva_no_corresponde","Purchases VAT in the correspondent","1","l10n_ar.res_IVAE,l10n_ar.res_RM","ri_tax_vat_0_compras","ri_tax_vat_no_corresponde_compras",Compras IVA no corresponde
"","","","","ri_tax_vat_10_compras","ri_tax_vat_no_corresponde_compras",""
"","","","","ri_tax_vat_21_compras","ri_tax_vat_no_corresponde_compras",""
"","","","","ri_tax_vat_27_compras","ri_tax_vat_no_corresponde_compras",""
"","","","","ri_tax_vat_exento_compras","ri_tax_vat_no_corresponde_compras",""
"","","","","ri_tax_vat_no_gravado_compras","ri_tax_vat_no_corresponde_compras",""
