"id","sequence","name","auto_apply","vat_required","country_id","tax_ids/tax_src_id","tax_ids/tax_dest_id"
"fiscal_position_template_1","1","National","1","","base.bd","",""
"fiscal_position_template_2","2","International","1","","","",""
"","","","","","","VAT_S_IN_BD_0","VAT_S_EX_IN_BD_0"
"","","","","","","VAT_P_IN_BD_0","VAT_P_EX_IN_BD_0"
"","","","","","","VAT_S_IN_BD_2","VAT_S_EX_IN_BD_0"
"","","","","","","VAT_P_IN_BD_2","VAT_P_EX_IN_BD_0"
"","","","","","","VAT_S_IN_BD_45","VAT_S_EX_IN_BD_0"
"","","","","","","VAT_P_IN_BD_45","VAT_P_EX_IN_BD_0"
"","","","","","","VAT_S_IN_BD_5","VAT_S_EX_IN_BD_0"
"","","","","","","VAT_P_IN_BD_5","VAT_P_EX_IN_BD_0"
"","","","","","","VAT_S_IN_BD_75","VAT_S_EX_IN_BD_0"
"","","","","","","VAT_P_IN_BD_75","VAT_P_EX_IN_BD_0"
"","","","","","","VAT_S_IN_BD_10","VAT_S_EX_IN_BD_0"
"","","","","","","VAT_P_IN_BD_10","VAT_P_EX_IN_BD_0"
"","","","","","","VAT_S_IN_BD_15","VAT_S_EX_IN_BD_0"
"","","","","","","VAT_P_IN_BD_15","VAT_P_EX_IN_BD_0"
