"id","sequence","description","invoice_label","name","price_include","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@hr"
"VAT_S_IN_ROC_25","1","Sale 25% in country","Sale 25% in country","25%","False","25.0","percent","sale","tax_group_pdv_25","100","base","invoice","+II.3_base","","Rasprodaja 25% u zemlji"
"","","","","","","","","","","100","tax","invoice","+II.3_tax","hr_240000",""
"","","","","","","","","","","100","base","refund","+II.3_base","",""
"","","","","","","","","","","100","tax","refund","+II.3_tax","hr_240000",""
"VAT_S_IN_ROC_13","2","Sale 13% in country","Sale 13% in country","13%","False","13.0","percent","sale","tax_group_pdv_13","100","base","invoice","+II.2_base","","Prodaja 13% u zemlji"
"","","","","","","","","","","100","tax","invoice","+II.2_tax","hr_240000",""
"","","","","","","","","","","100","base","refund","+II.2_base","",""
"","","","","","","","","","","100","tax","refund","+II.2_tax","hr_240000",""
"VAT_S_IN_ROC_5","3","Sale 5% in country","Sale 5% in country","5%","False","5.0","percent","sale","tax_group_pdv_5","100","base","invoice","+II.1_base","","Prodaja 5% u zemlji"
"","","","","","","","","","","100","tax","invoice","+II.1_tax","hr_240000",""
"","","","","","","","","","","100","base","refund","+II.1_base","",""
"","","","","","","","","","","100","tax","refund","+II.1_tax","hr_240000",""
"VAT_S_TAX_PERSON_25%","4","Taxable person not in ROC 25%","Taxable person not in ROC 25%","25% EX","False","25.0","percent","sale","tax_group_pdv_25","100","base","invoice","+II.13_base||+III.13_base","","Porezni obveznik koji nije u ROC 25%"
"","","","","","","","","","","100","tax","invoice","+II.13_tax","hr_240420",""
"","","","","","","","","","","-100","tax","invoice","-III.13_tax","hr_140420",""
"","","","","","","","","","","100","base","refund","+II.13_base||+III.13_base","",""
"","","","","","","","","","","100","tax","refund","+II.13_tax","hr_240420",""
"","","","","","","","","","","-100","tax","refund","-III.13_tax","hr_140420",""
"VAT_S_TAX_PERSON_13%","5","Taxable person not in ROC 13%","Taxable person not in ROC 13%","13% EX","False","13.0","percent","sale","tax_group_pdv_13","100","base","invoice","+II.12_base||+III.12_base","","Porezni obveznik koji nije u ROC 13%"
"","","","","","","","","","","100","tax","invoice","+II.12_tax","hr_240410",""
"","","","","","","","","","","-100","tax","invoice","-III.12_tax","hr_140410",""
"","","","","","","","","","","100","base","refund","+II.12_base||+III.12_base","",""
"","","","","","","","","","","100","tax","refund","+II.12_tax","hr_240410",""
"","","","","","","","","","","-100","tax","refund","-III.12_tax","hr_140410",""
