"id","description","sequence","name","invoice_label","type_tax_use","amount_type","amount","price_include","tax_group_id","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","description@zh_TW"
"tw_tax_sale_5","Sale (5%)","1","5%","GST Sales","sale","percent","5.0","False","tax_group_gst_5","","base","invoice","","銷項5%"
"","","","","","","","","","","","tax","invoice","tw_220400",""
"","","","","","","","","","","","base","refund","",""
"","","","","","","","","","","","tax","refund","tw_220400",""
"tw_tax_sale_inc_5","GST Inc Sale (5%)","2","5% INC","GST Inclusive Sale","sale","percent","5.0","True","tax_group_gst_5","1","base","invoice","","銷項5%-內含"
"","","","","","","","","","","","tax","invoice","tw_220400",""
"","","","","","","","","","","","base","refund","",""
"","","","","","","","","","","","tax","refund","tw_220400",""
"tw_tax_purchase_5","Purchase (5%)","1","5%","GST Purchase","purchase","percent","5.0","False","tax_group_gst_5","","base","invoice","","進項5%"
"","","","","","","","","","","","tax","invoice","tw_126800",""
"","","","","","","","","","","","base","refund","",""
"","","","","","","","","","","","tax","refund","tw_126800",""
"tw_tax_purchase_inc_5","GST Inc Purchase (5%)","","5% INC","GST Inclusive Purchases","purchase","percent","5.0","True","tax_group_gst_5","1","base","invoice","","進項5%-內含"
"","","","","","","","","","","","tax","invoice","tw_126800",""
"","","","","","","","","","","","base","refund","",""
"","","","","","","","","","","","tax","refund","tw_126800",""
