id,nombre,descripcion,pregunta_ids/id
evaluaciones.competencia_1,Actitud de Servicio,Disposición para ser útil a otras personas siendo amable y anticipándose a sus necesidades y posibles requerimientos.,"evaluaciones.pregunta_1,evaluaciones.pregunta_2,evaluaciones.pregunta_3,evaluaciones.pregunta_4,evaluaciones.pregunta_5"
evaluaciones.competencia_2,Actitud de Servicio Comercial -Tangibles,"Capacidad para identificar y comprender las necesidades que el cliente tiene en relación a un servicio o bien tangible, e influir sobre su decisión de compra.","evaluaciones.pregunta_6,evaluaciones.pregunta_7,evaluaciones.pregunta_8,evaluaciones.pregunta_9,evaluaciones.pregunta_10"
evaluaciones.competencia_3,Actitud de Servicio Comercial-Intangibles,"Capacidad para identificar y comprender las necesidades que el cliente tiene en relación a un servicio o bien intangible, e influir sobre su decisión de compra.","evaluaciones.pregunta_11,evaluaciones.pregunta_12,evaluaciones.pregunta_13,evaluaciones.pregunta_14,evaluaciones.pregunta_15"
evaluaciones.competencia_4,Apego a Normas,"Capacidad para trabajar bajo principios, políticas y procedimientos establecidos mostrando ética y respeto por la moral y las buenas costumbres.","evaluaciones.pregunta_16,evaluaciones.pregunta_17,evaluaciones.pregunta_18,evaluaciones.pregunta_19,evaluaciones.pregunta_20"
evaluaciones.competencia_5,Capacidad para Aprender,Habilidad y disposición para adquirir nuevos conocimientos que permitan dar solución a diferentes problemas y desarrollar nuevas actividades.,"evaluaciones.pregunta_21,evaluaciones.pregunta_22,evaluaciones.pregunta_23,evaluaciones.pregunta_24,evaluaciones.pregunta_25"
evaluaciones.competencia_6,Compromiso Cumplimiento de Tareas,Disposición para cumplir con las expectativas y los objetivos planteados.,"evaluaciones.pregunta_26,evaluaciones.pregunta_27,evaluaciones.pregunta_28,evaluaciones.pregunta_29,evaluaciones.pregunta_30"
evaluaciones.competencia_7,Compromiso-Asumir Responsabilidades,Disposición para adquirir bajo su cargo nuevas responsabilidades y cumplir con las expectativas y los objetivos planteados,"evaluaciones.pregunta_31,evaluaciones.pregunta_32,evaluaciones.pregunta_33,evaluaciones.pregunta_34,evaluaciones.pregunta_35"
evaluaciones.competencia_8,Comunicación Efectiva,"Habilidad para intercambiar ideas con otros por medio de la escucha efectiva, expresión clara e intención adecuada en los mensajes que envía.","evaluaciones.pregunta_36,evaluaciones.pregunta_37,evaluaciones.pregunta_38,evaluaciones.pregunta_39,evaluaciones.pregunta_40"
evaluaciones.competencia_9,Conocimientos de Inglés,"Manejo del idioma inglés con el que puede comprender lo que lee, expresarse de forma escrita, e incluso de forma verbal.","evaluaciones.pregunta_41,evaluaciones.pregunta_42,evaluaciones.pregunta_43,evaluaciones.pregunta_44,evaluaciones.pregunta_45"
evaluaciones.competencia_10,Control de Procesos Ejecución,Capacidad para ejecutar con eficiencia un proceso completo que ha sido previamente estandarizado.,"evaluaciones.pregunta_46,evaluaciones.pregunta_47,evaluaciones.pregunta_48,evaluaciones.pregunta_49,evaluaciones.pregunta_50"
evaluaciones.competencia_11,Control de Procesos Administración,"Capacidad para mantener y administrar los procedimientos de trabajo de punta a punta, vigilando las posibles variables y reduciendo al mínimo los riesgos existentes.","evaluaciones.pregunta_51,evaluaciones.pregunta_52,evaluaciones.pregunta_53,evaluaciones.pregunta_54,evaluaciones.pregunta_55"
evaluaciones.competencia_12,Creatividad,Habilidad para desarrollar e implementar nuevas ideas o soluciones que sirvan para mejorar el desempeño y los procesos de trabajo.,"evaluaciones.pregunta_56,evaluaciones.pregunta_57,evaluaciones.pregunta_58,evaluaciones.pregunta_59,evaluaciones.pregunta_60"
evaluaciones.competencia_13,Enfoque a Resultados Orientación a la Tarea,"Capacidad para concentrarse y persistir en la realización de una tarea determinada, de modo que pueda entregarla en tiempo y forma.","evaluaciones.pregunta_61,evaluaciones.pregunta_62,evaluaciones.pregunta_63,evaluaciones.pregunta_64,evaluaciones.pregunta_65"
evaluaciones.competencia_14,Enfoque a Resultados-Logro de Objetivos,"Capacidad para orientar los esfuerzos y actividades cotidianas a garantizar el cumplimiento de los objetivos clave asignados, de acuerdo con el tiempo y requisitos esperados.","evaluaciones.pregunta_66,evaluaciones.pregunta_67,evaluaciones.pregunta_68,evaluaciones.pregunta_69,evaluaciones.pregunta_70"
evaluaciones.competencia_15,Estabilidad Emocional,Satisfacción y adecuación personal que permite buscar la plenitud en las diferentes áreas de la vida.,"evaluaciones.pregunta_71,evaluaciones.pregunta_72,evaluaciones.pregunta_73,evaluaciones.pregunta_74,evaluaciones.pregunta_75"
evaluaciones.competencia_16,Honestidad,"Cualidad de la persona de decir la verdad, ser sincero y franco","evaluaciones.pregunta_76,evaluaciones.pregunta_77,evaluaciones.pregunta_78,evaluaciones.pregunta_79,evaluaciones.pregunta_80"
evaluaciones.competencia_17,Iniciativa,Habilidad para proponer acciones y soluciones y llevarlas a cabo sin que se le haya solicitado.,"evaluaciones.pregunta_81,evaluaciones.pregunta_82,evaluaciones.pregunta_83,evaluaciones.pregunta_84,evaluaciones.pregunta_85"
evaluaciones.competencia_18,Integridad,"Capacidad para inspirar confiabilidad demostrando compromiso hacia sus tareas. Muestra respeto y sigue las políticas, procedimientos y cumple los acuerdos en el desempeño de sus funciones.","evaluaciones.pregunta_86,evaluaciones.pregunta_87,evaluaciones.pregunta_88,evaluaciones.pregunta_89,evaluaciones.pregunta_90"
evaluaciones.competencia_19,Inteligencia Emocional,Reconocimiento y manejo adaptativo de los sentimientos que permite una gestión efectiva de las relaciones interpersonales.,"evaluaciones.pregunta_91,evaluaciones.pregunta_92,evaluaciones.pregunta_93,evaluaciones.pregunta_94,evaluaciones.pregunta_95"
evaluaciones.competencia_20,Liderazgo Supervisión de Procesos,"Capacidad para asegurar que un grupo de personas logre un fin específico, enfocándose en el estricto apego a procesos y resultados.","evaluaciones.pregunta_96,evaluaciones.pregunta_97,evaluaciones.pregunta_98,evaluaciones.pregunta_99,evaluaciones.pregunta_100"
evaluaciones.competencia_21,Liderazgo-Desarrollo de Personas,"Capacidad para guiar a grupos de personas y equipos de trabajo hacia un fin específico; capacitándolos, supervisándolos y delegando efectivamente las diferentes responsabilidades.","evaluaciones.pregunta_101,evaluaciones.pregunta_102,evaluaciones.pregunta_103,evaluaciones.pregunta_104,evaluaciones.pregunta_105"
evaluaciones.competencia_22,Manejo de Conflictos,"Capacidad para mantener el control de impulsos y emociones en situaciones conflictivas, tratando de encontrar soluciones que resulten beneficiosas para los implicados.","evaluaciones.pregunta_106,evaluaciones.pregunta_107,evaluaciones.pregunta_108,evaluaciones.pregunta_109,evaluaciones.pregunta_110"
evaluaciones.competencia_23,Negociación,"Habilidad para lograr acuerdos satisfactorios entre diferentes partes, alineando objetivos para alcanzar soluciones y beneficios conjuntos.","evaluaciones.pregunta_111,evaluaciones.pregunta_112,evaluaciones.pregunta_113,evaluaciones.pregunta_114,evaluaciones.pregunta_115"
evaluaciones.competencia_24,Negociación Comercial,Resuelve diferencias a través de concesiones mutuas con el cliente y realiza negociaciones con una conclusión satisfactoria ganar ganar.,"evaluaciones.pregunta_116,evaluaciones.pregunta_117,evaluaciones.pregunta_118,evaluaciones.pregunta_119,evaluaciones.pregunta_120"
evaluaciones.competencia_25,Organización,Habilidad para ordenar las actividades y las diferentes herramientas de trabajo a fin de que el desempeño sea el adecuado para el logro de objetivos.,"evaluaciones.pregunta_121,evaluaciones.pregunta_122,evaluaciones.pregunta_123,evaluaciones.pregunta_124,evaluaciones.pregunta_125"
evaluaciones.competencia_26,Planeación,"Capacidad para visualizar a mediano y largo plazo los elementos positivos y negativos de las diversas situaciones, anticipando sus implicaciones y posibilidades, asignando el justo valor a cada una de las actividades involucradas.","evaluaciones.pregunta_126,evaluaciones.pregunta_127,evaluaciones.pregunta_128,evaluaciones.pregunta_129,evaluaciones.pregunta_130"
evaluaciones.competencia_27,Potencial de Desarrollo,"Capacidad que un individuo tiene de aprovechar y consolidar sus fortalezas, promoviendo de esa forma su desarrollo, la productividad de la empresa en la que trabaja, e incrementado su sentido personal de satisfacción consigo mismo","evaluaciones.pregunta_131,evaluaciones.pregunta_132,evaluaciones.pregunta_133,evaluaciones.pregunta_134,evaluaciones.pregunta_135"
evaluaciones.competencia_28,Respeto por las Personas,"Capacidad de relación social basada en la confianza y empatía, a tal grado que se actúa sin esperar nada a cambio. Muestra interés en las personas y constantemente busca la satisfacción de los que lo rodean a través de diferentes medios.","evaluaciones.pregunta_136,evaluaciones.pregunta_137,evaluaciones.pregunta_138,evaluaciones.pregunta_139,evaluaciones.pregunta_140"
evaluaciones.competencia_29,Responsabilidad,"Capacidad para cumplir con las actividades y obligaciones a su cargo, asumir las consecuencias de sus actos, errores y decisiones y darles seguimiento y solución efectivos","evaluaciones.pregunta_141,evaluaciones.pregunta_142,evaluaciones.pregunta_143,evaluaciones.pregunta_144,evaluaciones.pregunta_145"
evaluaciones.competencia_30,Solución de Problemas-Capacidad de Análisis,"Habilidad para comprender una problemática, distinguiendo las variables que influyen en la misma.","evaluaciones.pregunta_146,evaluaciones.pregunta_147,evaluaciones.pregunta_148,evaluaciones.pregunta_149,evaluaciones.pregunta_150"
evaluaciones.competencia_31,Solución de Problemas-Desarrolla Alternativas,"Habilidad para comprender una problemática, plantear e implementar alternativas de solución efectivas.","evaluaciones.pregunta_151,evaluaciones.pregunta_152,evaluaciones.pregunta_153,evaluaciones.pregunta_154,evaluaciones.pregunta_155"
evaluaciones.competencia_32,Toma de decisiones Tácticas u operativas,"Habilidad para proponer y tomar acciones con la finalidad de lograr objetivos tácticos, asumiendo las consecuencias de las mismas.","evaluaciones.pregunta_156,evaluaciones.pregunta_157,evaluaciones.pregunta_158,evaluaciones.pregunta_159,evaluaciones.pregunta_160"
evaluaciones.competencia_33,Toma de decisiones Estratégicas,"Habilidad y disposición para analizar el contexto organizacional de negocio y definir las acciones a realizar para lograr los resultados esperados, asumiendo las consecuencias de las mismas","evaluaciones.pregunta_161,evaluaciones.pregunta_162,evaluaciones.pregunta_163,evaluaciones.pregunta_164,evaluaciones.pregunta_165"
evaluaciones.competencia_34,Trabajo bajo Presión,Capacidad para mantener un buen desempeño y calidad en el trabajo aún bajo una carga pesada de actividades o con tiempos reducidos.,"evaluaciones.pregunta_166,evaluaciones.pregunta_167,evaluaciones.pregunta_168,evaluaciones.pregunta_169,evaluaciones.pregunta_170"
evaluaciones.competencia_35,Trabajo en Equipo Capacidad de Socializar,Capacidad para entablar y mantener relaciones interpersonales en un contexto laboral de cooperación.,"evaluaciones.pregunta_171,evaluaciones.pregunta_172,evaluaciones.pregunta_173,evaluaciones.pregunta_174,evaluaciones.pregunta_175"
evaluaciones.competencia_36,Trabajo en Equipo Colaborar por Resultados,"Capacidad para establecer, conservar y desarrollar relaciones interpersonales enfocadas en el logro de objetivos organizacionales, a través de la colaboración.","evaluaciones.pregunta_176,evaluaciones.pregunta_177,evaluaciones.pregunta_178,evaluaciones.pregunta_179,evaluaciones.pregunta_180"
evaluaciones.competencia_37,Visión Estratégica Tendencias,"Habilidad para identificar tendencias estratégicas, así como sus implicaciones y posibilidades.","evaluaciones.pregunta_181,evaluaciones.pregunta_182,evaluaciones.pregunta_183,evaluaciones.pregunta_184,evaluaciones.pregunta_185"
evaluaciones.competencia_38,Visión Estratégica Oportunidades de Negocio,"Habilidad para crear un enfoque a futuro que integre en forma sistémica oportunidades y amenazas para el negocio, anticipando eventos, reconociendo y encauzando adecuadamente las fuerzas impulsoras y restrictivas para el éxito de la Organización.","evaluaciones.pregunta_186,evaluaciones.pregunta_187,evaluaciones.pregunta_188,evaluaciones.pregunta_189,evaluaciones.pregunta_190"
